Title,Category,Img,Country,URL,Domain
The Canary (UK),left,left7.png,United Kingdom,https://www.thecanary.co/,thecanary.co
The Climate Reality Project,left,left12.png,NA,https://www.climaterealityproject.org/,climaterealityproject.org
The Cut,left,left9.png,USA,https://www.thecut.com/,thecut.com
Daily 49er,left,left11.png,USA,http://www.daily49er.com/,daily49er.com
The Daily Banter,left,left2.png,USA,https://thedailybanter.com/,thedailybanter.com
The Daily Buzz,left,left11.png,USA,https://the-daily.buzz/,the-daily.buzz
The Daily Poster,left,left4.png,USA,https://www.dailyposter.com/,dailyposter.com
The Daily Vox,left,left9.png,South Africa,https://www.thedailyvox.co.za/,thedailyvox.co.za
The Democratic Hub,left,left2.png,NA,http://www.democratichub.com/,democratichub.com
The Dodo,left,left4.png,USA,https://www.thedodo.com,thedodo.com
The Dworkin Report,left,left2.png,USA,https://dworkinreport.com,dworkinreport.com
The Florida Squeeze,left,left9.png,NA,https://thefloridasqueeze.com/,thefloridasqueeze.com
The Ghion Journal,left,left2.png,USA,https://ghionjournal.com,ghionjournal.com
TheImproper Magazine,left,left5.png,USA,https://www.theimproper.com,theimproper.com
The Indypendent,left,left7.png,USA,https://indypendent.org,indypendent.org
The Intellectualist,left,left6.png,USA,https://mavenroundtable.io/theintellectualist/,mavenroundtable.io
The Lily,left,left12.png,NA,https://www.thelily.com/,thelily.com
The London Economic,left,left2.png,United Kingdom,https://www.thelondoneconomic.com,thelondoneconomic.com
The Mary Sue,left,left9.png,USA,https://www.themarysue.com,themarysue.com
The Militant,left,left11.png,USA,https://themilitant.com/,themilitant.com
The Monthly (Australia),left,left8.png,Australia,https://www.themonthly.com.au/,themonthly.com.au
The Morning Star,left,left2.png,United Kingdom,https://morningstaronline.co.uk/,morningstaronline.co.uk
The Nation,left,left8.png,USA,https://www.thenation.com/,thenation.com
The National Memo,left,left8.png,USA,https://www.nationalmemo.com/,nationalmemo.com
The New Civil Rights Movement,left,left3.png,USA,https://www.thenewcivilrightsmovement.com/,thenewcivilrightsmovement.com
The Outline,left,left11.png,NA,https://theoutline.com/,theoutline.com
The Palestine Chronicle,left,left7.png,USA,https://www.palestinechronicle.com,palestinechronicle.com
The Phnom Penh Post,left,left5.png,Cambodia,https://www.phnompenhpost.com/,phnompenhpost.com
The Progressive,left,left6.png,USA,https://progressive.org/,progressive.org
The Progressive Frontier,left,left1.png,USA,https://progressivefrontier.com,progressivefrontier.com
The RealityBased Community,left,left9.png,NA,http://www.samefacts.com/,samefacts.com
The Root,left,left8.png,USA,https://www.theroot.com/,theroot.com
The Source Newspaper (La Source),left,left6.png,NA,http://thelasource.com/en/,thelasource.com
The Stern Facts,left,left3.png,NA,https://thesternfacts.com/,thesternfacts.com
The Stranger,left,left10.png,USA,https://www.thestranger.com/,thestranger.com
The Texas Observer,left,left10.png,USA,https://www.texasobserver.org,texasobserver.org
The Village Voice,left,left6.png,USA,https://www.villagevoice.com/,villagevoice.com
The Walrus,left,left7.png,Canada,https://thewalrus.ca/,thewalrus.ca
The Washington Spectator,left,left8.png,USA,https://washingtonspectator.org/,washingtonspectator.org
The Week (USA),left,left9.png,USA,https://theweek.com/,theweek.com
The World Can’t Wait,left,left6.png,NA,https://worldcantwait.net/,worldcantwait.net
TheGrio,left,left5.png,USA,https://thegrio.com/,thegrio.com
The Zero Hour,left,left10.png,USA,https://thisisthezerohour.com/,thisisthezerohour.com
Them.us,left,left7.png,United States,https://www.them.us/,them.us
TheosWatch.com,left,left1.png,NA,http://theoswatch.com,theoswatch.com
Think Progress,left,left4.png,USA,https://thinkprogress.org/,thinkprogress.org
This Magazine,left,left7.png,Canada,https://this.org/,this.org
Towleroad,left,left7.png,USA,http://www.towleroad.com/,towleroad.com
TreeHugger,left,left7.png,USA,https://www.treehugger.com/,treehugger.com
Truthdig,left,left7.png,USA,https://www.truthdig.com/,truthdig.com
TruthOut,left,left1.png,USA,https://truthout.org/,truthout.org
Truth Theory,left,left11.png,United Kingdom,https://truththeory.com,truththeory.com
Unicorn Riot,left,left7.png,USA,https://unicornriot.ninja/,unicornriot.ninja
Uproxx,left,left11.png,NA,https://uproxx.com/,uproxx.com
Upworthy,left,left8.png,USA,https://www.upworthy.com/,upworthy.com
Vanity Fair,left,left7.png,USA,https://www.vanityfair.com,vanityfair.com
Vermont Independent,left,left7.png,NA,http://www.vermontindependent.org/,vermontindependent.org
Verrit,left,left8.png,NA,https://verrit.com,verrit.com
Viral Title,left,left3.png,Panama,http://viraltitle.com,viraltitle.com
Vote,left,left9.png,NA,http://vote.us.org/,vote.us.org
Vox,left,left8.png,USA,https://www.vox.com/,vox.com
Wall Street on Parade,left,leftcenter03.png,NA,http://wallstreetonparade.com/,wallstreetonparade.com
Washington Babylon,left,left7.png,USA,https://washingtonbabylon.com/,washingtonbabylon.com
Washington Daily Wire,left,left2.png,USA,http://www.washingtondailywire.com,washingtondailywire.com
Washington Press,left,left1.png,USA,https://washingtonpress.com/,washingtonpress.com
Washington Sources,left,left3.png,USA,http://washingtonsources.org,washingtonsources.org
Washingtonian,left,left7.png,USA,https://www.washingtonian.com,washingtonian.com
Wear Your Voice,left,left8.png,NA,https://wearyourvoicemag.com,wearyourvoicemag.com
We Hunted the Mammoth,left,left6.png,USA,http://www.wehuntedthemammoth.com/,wehuntedthemammoth.com
White House Watch,left,left1.png,USA,https://whitehousewatch.com,whitehousewatch.com
Who.What.Why,left,left9.png,NA,https://whowhatwhy.org/,whowhatwhy.org
Wonkette,left,left2.png,USA,https://www.wonkette.com,wonkette.com
Workers World,left,left3.png,NA,http://www.workers.org/,workers.org
World Socialist Web Site,left,left3.png,USA,NA,NA
Yes Magazine,left,left8.png,USA,https://www.yesmagazine.org,yesmagazine.org
The Young Turks,left,left3.png,USA,https://tytnetwork.com/,tytnetwork.com
Your Black World,left,left8.png,USA,http://yourblackworld.net,yourblackworld.net
Z Magazine,left,left3.png,USA,https://zcomm.org/zmag/,zcomm.org
604 Now,center-left,leftcenter06.png,Canada,https://604now.com/,604now.com
972 Magazine,center-left,leftcenter01.png,USA,https://972mag.com/,972mag.com
Whitehouse.gov,center-left,leftcenter02.png,USA,https://www.whitehouse.gov,whitehouse.gov
ABC News,center-left,leftcenter06.png,USA,https://abcnews.go.com,abcnews.go.com
ABC News Australia,center-left,leftcenter09.png,Australia,https://www.abc.net.au,abc.net.au
ABC11 Eyewitness News,center-left,leftcenter07.png,USA,https://abc11.com/,abc11.com
Above the Law,center-left,leftcenter09.png,USA,https://abovethelaw.com/,abovethelaw.com
AceShowbiz (ASB),center-left,leftcenter05.png,NA,https://www.aceshowbiz.com/,aceshowbiz.com
American Civil Liberties Union (ACLU),center-left,leftcenter08.png,USA,https://www.aclu.org/,aclu.org
Aeon,center-left,leftcenter08.png,Australia,https://aeon.co/,aeon.co
Affinity Magazine,center-left,leftcenter03.png,USA,http://affinitymagazine.us/,affinitymagazine.us
African Arguments,center-left,leftcenter06.png,NA,https://africanarguments.org/,africanarguments.org
Africa News,center-left,leftcenter03.png,France,https://www.africanews.com/,africanews.com
Ahval News,center-left,leftcenter02.png,Cyprus,https://ahvalnews.com/,ahvalnews.com
Akron Beacon Journal,center-left,leftcenter09.png,USA,https://www.beaconjournal.com/,beaconjournal.com
Al Jazeera,center-left,leftcenter07.png,Qatar,https://www.aljazeera.com/,aljazeera.com
Al Monitor,center-left,leftcenter07.png,USA,https://www.al-monitor.com/,al-monitor.com
AlSura,center-left,leftcenter07.png,USA,https://al-sura.com,al-sura.com
Alan Guttmacher Institute,center-left,leftcenter06.png,USA,https://www.guttmacher.org/,guttmacher.org
Albany TimesUnion,center-left,leftcenter10.png,USA,https://www.timesunion.com/,timesunion.com
Alberta Views,center-left,leftcenter04.png,Canada,https://albertaviews.ca,albertaviews.ca
AllGov,center-left,leftcenter04.png,USA,http://www.allgov.com,allgov.com
Allied Progress,center-left,leftcenter02.png,NA,https://alliedprogress.org,alliedprogress.org
AM New York,center-left,leftcenter05.png,USA,https://www.amny.com/,amny.com
America Magazine,center-left,leftcenter10.png,USA,https://www.americamagazine.org/,americamagazine.org
American Immigration Council,center-left,leftcenter04.png,USA,https://www.americanimmigrationcouncil.org,americanimmigrationcouncil.org
American Public Media,center-left,leftcenter10.png,USA,NA,NA
Amnesty International,center-left,leftcenter05.png,United Kingdom,https://www.amnesty.org/en/,amnesty.org
Anchorage Daily News,center-left,leftcenter08.png,USA,https://www.adn.com/,adn.com
Anniston Star,center-left,leftcenter02.png,USA,https://www.annistonstar.com,annistonstar.com
Anthropocene Magazine,center-left,leftcenter09.png,USA,https://www.anthropocenemagazine.org/,anthropocenemagazine.org
AntiDefamation League (ADL),center-left,leftcenter02.png,USA,https://www.adl.org,adl.org
AOL,center-left,leftcenter04.png,USA,https://www.aol.com/,aol.com
APM Reports,center-left,leftcenter08.png,USA,https://www.apmreports.org/,apmreports.org
Areo Magazine,center-left,leftcenter09.png,United Kingdom,https://areomagazine.com,areomagazine.com
Arizona Daily Star,center-left,leftcenter06.png,USA,https://tucson.com/,tucson.com
Arizona Daily Sun,center-left,leftcenter11.png,USA,https://azdailysun.com,azdailysun.com
Arizona Republic,center-left,leftcenter09.png,USA,https://www.azcentral.com,azcentral.com
Arkansas Times,center-left,leftcenter01.png,NA,https://www.arktimes.com,arktimes.com
Arms Control Association,center-left,leftcenter09.png,USA,https://www.armscontrol.org,armscontrol.org
ARTE,center-left,leftcenter03.png,France/Germany,https://www.arte.tv/,arte.tv
Asheville CitizenTimes,center-left,leftcenter11.png,USA,https://www.citizen-times.com/,citizen-times.com
